21,"A. AGUS PATMINTO"
22,"Ir. H. AA LA NYALLA MAHMUD MATTALITTI"
23,"ABDUL QADIR AMIR HARTONO,S.E., S.H., M.H"
24,"ACHMAD NURUL ILMI, S.H"
25,"ACHMAD RUSYAD MANFALUTI,S.Ag., M.Si"
26,"ADILLA AZIS"
27,"H. AHMAD NAWARDI, S.Ag"
28,"Ir. H. ALFA ISNAENI, M.Si"
29,"ANDI YUWONO,S.Sos., M.Si"
30,"A SYAIFUL ISMAIL, S.H., M.H"
31,"ENRICO WHENRY RIZKY TAMBUNAN"
32,"EVI ZAINAL ABIDIN"
33,"FAIROUZ HUDA, S.Sos"
34,"FATIHUL FAIZUN, S.Sos"
35,"Dra. Hj. HARBIAH SALAHUDDIN, M.Si"
36,"IMAM KHODRI TF, S.S., M.Th.I"
37,"MASHUDI, S.T.P"
38,"MISBAHUL MUNIR, M.Ag"
39,"MOHAMMAD TRIJANTO, S.H"
40,"MUHAMAD KODERI HW, M.T"
41,"H. NADJIB HAMID, M.Si"
42,"H. PUDJO BASUKI"
43,"PURWO ALI"
44,"Dr. H. RPA. MUJAHID ANSORI, M.Si"
45,"H. SONHADJI ZAINUDIN, S.E., M.M"
46,"Ir.H. SUHANDOYO SP"
47,"H. SUPRIASTO, S.H., M.H"
48,"ZAIFUL ANAM"
