21,"ABDUL HAFID, S.Pi."
22,"Dr. AGUSTIN TERAS NARANG, S.H."
23,"H. AMANTO SURYA LANGKA, Lc."
24,"H. ASRANI, S.E.,S.H."
25,"H. BAMBANG SURYADI, S.E.,M.Si."
26,"Drs. FERLY H. SANGEN, M.Si."
27,"HABIB SAID ABDURRAHMAN"
28,"JAMBEK NICKA, Amd.Kep."
29,"H. MARYONO, S.H.I.,M.Si."
30,"H. MUHAMMAD RAKHMAN, S.E.,S.T."
31,"Drs. H. MUHAMMAD YAMIN MUKHTAR, Lc.,M.Pd.I."
32,"KH. M. YUSUP ALHUDROMY, S.H."
33,"NAPA J. AWAT"
34,"Dra. Hj. NORHASANAH, M.Si."
35,"Ir. NYELONG INGA SIMON"
36,"Hj. PERMANA SARI, S.Si.,M.M.,M.B.A."
37,"RINI WIDYASARI DIRAN, S.E.,M.M."
38,"RUDOLF DITA, S.P.,S.PKP.,M.Si."
39,"Pdt. Dr. SIMPON F. LION, M.Th."
40,"Hj. YUSTINA ISMIATI, S.H.,M.H."
41,"RIRIN ROSYANA, SH"
