21,"Dr. ABDUL AZIS"
22,"H. AGUS SALIM"
23,"ALWIYAH AHMAD, S.H., M.H."
24,"ARDINTO DEMIYASA"
25,"ARDI PUTRA BARAMULI"
26,"A. SYAMSUL ZAKARIA, S.H., M.H."
27,"Dr. H. DAILAMI FIRDAUS, S.H., LL.M."
28,"ENDANG WIDURI"
29,"FAHIRA IDRIS, S.E., M.H."
30,"FERRY ISWAN, S.H., M.H."
31,"Hj. H. PATRIKA SUSANA, S.H., M.H."
32,"Prof. Dr. H. JIMLY ASSHIDDIQIE, S.H."
33,"H. MOH. RIDWAN SR."
34,"Ir. H. M. SALEH KHALID, M.M."
35,"MUHAMMAD TAUFIK"
36,"H. PARDI, S.H."
37,"P.K. TINO RAHARDIAN"
38,"RIJAL"
39,"SABAM SIRAIT"
40,"SLAMET ABADI, CPA."
41,"Dra. Hj. SOEMIENTARSI MUNTORO, M.Si."
42,"H. SUDARTO, S.Pd.I., M.M."
43,"Drs. SUMARNO, M.Si."
44,"SUSANA SURYANI SARUMAHA"
45,"Ir. H. SUYARTONO SUWANDI, M.Sc."
46,"Prof. Dr. Hj. SYLVIANA MURNI S.H., M.Si."
