21,"H. AFRIZAL, S.E."
22,"Dr. H. ALIRMAN SORI, S.H., M.Hum, M.M."
23,"ALKUDRI"
24,"H. ASNAWI BAHAR, S.E., M.Si"
25,"ATTILA MAJIDI, SP"
26,"Dr. H. CHAIRUL UMAIYA, M.M., Ak"
27,"Drs. H. DESRA EDIWAN ANANTANUR, M.M."
28,"Hj. EMMA YOHANNA"
29,"Dr.H. HELMY P Dt. PONOMARAJO, S.H., M.Kn"
30,"IBRANI Dt. RAJO TIANSO S.H., M.H"
31,"H. ICU ZUKAFRIL Dt. BANDAHARO"
32,"Drs. IRDAM IMRAN, M.Si"
33,"JULIA F AGUSTA, S.E."
34,"KOMI CHANIAGO, S.H."
35,"H. LEONARDY HARMAINY Dt. BANDARO BASA, S.IP., M.H."
36,"Ir. H. MULYADI AFMAR"
37,"H. MUSLIM M YATIM, Lc.,M.M."
38,"NURKHALIS"
39,"RAMAL SALEH"
40,"TUKIMAN"
41,"Dr. H. YUHERMAN, S.H., M.H., M.Kn"
42,"ZAINAL AKIL"
43,"H. ZUL EVI ASTAR, S.H"
