21,"ADE Hi. TAHER, S.A.P."
22,"BASRI DODO, S.H., M.H."
23,"BURHAN ISMAIL"
24,"CHAIDIR DJAFAR, S.E., M.Si."
25,"HASAN FADEL"
26,"HUSAIN ALTING SJAH, S.E., M.M."
27,"IKBAL Hi. DJABID, S.E., M.M."
28,"IMAM SISWANTO BOYRATAN, S.E."
29,"Pdt. JACOB MATHEIS SOSELISA, S.Th."
30,"MATHEUS STEFI PASIMANJEKU, S.H."
31,"MUH. WAJDI RAHMAN, S.I.P., M.Si."
32,"Ir. NAMTO ROBA, S.H."
33,NOVERIUS AGUSTINUS BULANGO
34,"Hj. NURHAYATI AMIN, S.H., M.Si."
35,"RIEDNO GRAAL TALIAWO, S.Sos., M.Si."
36,"SAHRIN HAMID, S.H."
37,"Dr. SAIFUL AHMAD, M.Si."
38,"H. SALAHUDDIN ADRIAS, S.T., M.A.P."
39,"SARKA ELADJOUW, S.E."
40,"Hj. SURIATI ARMAIYN"
41,"Ir. TJATUR SAPTO EDY, M.T."
42,"TONY PULO, S.H., M.H."
43,"YADI UTOKOY, S.H., M.H."
44,"YULIANTY E. HASAN DOA"
